id,frame_index,modality,path,split
flame3_00001,-1,unknown,raw\flame3\FLAME 3 CV Dataset (Sycan Marsh)\Fire\RGB\Corrected FOV\00001.JPG,flame3_cv_subset
flame3_00002,-1,unknown,raw\flame3\FLAME 3 CV Dataset (Sycan Marsh)\Fire\RGB\Corrected FOV\00002.JPG,flame3_cv_subset
flame3_00003,-1,unknown,raw\flame3\FLAME 3 CV Dataset (Sycan Marsh)\Fire\RGB\Corrected FOV\00003.JPG,flame3_cv_subset
flame3_00004,-1,unknown,raw\flame3\FLAME 3 CV Dataset (Sycan Marsh)\Fire\RGB\Corrected FOV\00004.JPG,flame3_cv_subset
flame3_00005,-1,unknown,raw\flame3\FLAME 3 CV Dataset (Sycan Marsh)\Fire\RGB\Corrected FOV\00005.JPG,flame3_cv_subset
flame3_00006,-1,unknown,raw\flame3\FLAME 3 CV Dataset (Sycan Marsh)\Fire\RGB\Corrected FOV\00006.JPG,flame3_cv_subset
flame3_00007,-1,unknown,raw\flame3\FLAME 3 CV Dataset (Sycan Marsh)\Fire\RGB\Corrected FOV\00007.JPG,flame3_cv_subset
flame3_00008,-1,unknown,raw\flame3\FLAME 3 CV Dataset (Sycan Marsh)\Fire\RGB\Corrected FOV\00008.JPG,flame3_cv_subset
flame3_00009,-1,unknown,raw\flame3\FLAME 3 CV Dataset (Sycan Marsh)\Fire\RGB\Corrected FOV\00009.JPG,flame3_cv_subset
flame3_00010,-1,unknown,raw\flame3\FLAME 3 CV Dataset (Sycan Marsh)\Fire\RGB\Corrected FOV\00010.JPG,flame3_cv_subset
flame3_00011,-1,unknown,raw\flame3\FLAME 3 CV Dataset (Sycan Marsh)\Fire\RGB\Corrected FOV\00011.JPG,flame3_cv_subset
flame3_00012,-1,unknown,raw\flame3\FLAME 3 CV Dataset (Sycan Marsh)\Fire\RGB\Corrected FOV\00012.JPG,flame3_cv_subset
flame3_00013,-1,unknown,raw\flame3\FLAME 3 CV Dataset (Sycan Marsh)\Fire\RGB\Corrected FOV\00013.JPG,flame3_cv_subset
flame3_00014,-1,unknown,raw\flame3\FLAME 3 CV Dataset (Sycan Marsh)\Fire\RGB\Corrected FOV\00014.JPG,flame3_cv_subset
flame3_00015,-1,unknown,raw\flame3\FLAME 3 CV Dataset (Sycan Marsh)\Fire\RGB\Corrected FOV\00015.JPG,flame3_cv_subset
flame3_00016,-1,unknown,raw\flame3\FLAME 3 CV Dataset (Sycan Marsh)\Fire\RGB\Corrected FOV\00016.JPG,flame3_cv_subset
flame3_00017,-1,unknown,raw\flame3\FLAME 3 CV Dataset (Sycan Marsh)\Fire\RGB\Corrected FOV\00017.JPG,flame3_cv_subset
flame3_00018,-1,unknown,raw\flame3\FLAME 3 CV Dataset (Sycan Marsh)\Fire\RGB\Corrected FOV\00018.JPG,flame3_cv_subset
flame3_00019,-1,unknown,raw\flame3\FLAME 3 CV Dataset (Sycan Marsh)\Fire\RGB\Corrected FOV\00019.JPG,flame3_cv_subset
flame3_00020,-1,unknown,raw\flame3\FLAME 3 CV Dataset (Sycan Marsh)\Fire\RGB\Corrected FOV\00020.JPG,flame3_cv_subset
flame3_00021,-1,unknown,raw\flame3\FLAME 3 CV Dataset (Sycan Marsh)\Fire\RGB\Corrected FOV\00021.JPG,flame3_cv_subset
flame3_00022,-1,unknown,raw\flame3\FLAME 3 CV Dataset (Sycan Marsh)\Fire\RGB\Corrected FOV\00022.JPG,flame3_cv_subset
flame3_00023,-1,unknown,raw\flame3\FLAME 3 CV Dataset (Sycan Marsh)\Fire\RGB\Corrected FOV\00023.JPG,flame3_cv_subset
flame3_00024,-1,unknown,raw\flame3\FLAME 3 CV Dataset (Sycan Marsh)\Fire\RGB\Corrected FOV\00024.JPG,flame3_cv_subset
flame3_00025,-1,unknown,raw\flame3\FLAME 3 CV Dataset (Sycan Marsh)\Fire\RGB\Corrected FOV\00025.JPG,flame3_cv_subset
flame3_00026,-1,unknown,raw\flame3\FLAME 3 CV Dataset (Sycan Marsh)\Fire\RGB\Corrected FOV\00026.JPG,flame3_cv_subset
flame3_00027,-1,unknown,raw\flame3\FLAME 3 CV Dataset (Sycan Marsh)\Fire\RGB\Corrected FOV\00027.JPG,flame3_cv_subset
flame3_00028,-1,unknown,raw\flame3\FLAME 3 CV Dataset (Sycan Marsh)\Fire\RGB\Corrected FOV\00028.JPG,flame3_cv_subset
