split,frame_index,label_lama,label_baru
train,4267,0,0
train,4281,0,0
train,4297,0,0
train,4350,0,0
train,4402,0,0
train,4421,0,0
train,4432,0,0
train,4767,0,0
train,4800,0,0
train,4846,0,0
train,4897,0,0
train,4947,0,0
train,5269,0,0
train,5271,0,0
train,5375,0,0
train,5426,0,0
train,5496,0,0
train,5761,0,0
train,5785,0,0
train,5834,0,0
train,5854,0,0
train,5951,0,0
train,5998,0,0
train,6014,0,0
train,6025,0,0
train,6084,0,0
train,6090,0,0
train,6133,0,0
train,6401,0,0
train,6414,0,0
train,6527,0,0
train,6599,0,0
train,6620,0,0
train,6674,0,0
train,6687,0,0
train,6694,0,0
train,6789,0,0
train,6871,0,0
train,6914,0,0
train,6943,0,0
train,7005,0,0
train,7064,0,0
train,7066,0,0
train,7078,0,0
train,7280,0,0
train,7493,0,0
train,7521,0,0
train,7606,0,0
train,7620,0,0
train,7628,0,0
train,7660,0,0
train,7729,0,0
train,7801,0,0
train,7957,0,0
train,7960,0,0
train,8042,0,0
train,8108,0,0
train,8144,0,0
train,8317,0,0
train,8664,0,0
train,8678,0,0
train,8732,0,0
train,8933,0,0
train,8960,0,0
train,8972,0,0
train,8980,0,0
train,9001,0,0
train,9020,0,0
train,9066,0,0
train,9153,0,0
train,9229,0,0
train,9233,0,0
train,9336,0,0
train,9384,0,0
train,9549,0,0
train,9861,0,0
train,9903,0,0
train,9940,0,0
train,10138,0,0
train,10141,0,0
train,10230,0,0
train,10236,0,0
train,10273,0,0
train,10341,0,0
train,10417,0,0
train,10445,0,0
train,10614,0,0
train,10679,0,0
train,10692,0,0
train,10694,0,0
train,10698,0,0
train,10923,0,0
train,10977,0,0
train,10996,0,0
train,11001,0,0
train,11009,0,0
train,11017,0,0
train,11099,0,0
train,11132,0,0
train,11196,0,0
train,11216,0,0
train,11438,0,0
train,11454,0,0
train,11485,0,0
train,11579,0,0
train,11706,0,0
train,12350,0,0
train,12356,0,0
train,12428,0,0
train,12437,0,0
train,12441,0,0
train,12486,0,0
train,12505,0,0
train,12716,0,0
train,12738,0,0
train,12746,0,0
train,12820,0,0
train,12826,0,0
train,12874,0,0
train,12908,0,0
train,12954,0,0
train,13027,0,0
train,13328,0,0
train,13346,0,0
train,13377,0,0
train,13641,0,0
train,13644,0,0
train,13707,2,2
train,13801,2,2
train,13846,2,2
train,13868,2,2
train,13947,2,2
train,14012,2,2
train,14022,2,2
train,14025,2,2
train,14180,2,2
train,14196,2,2
train,14268,2,2
train,14439,2,2
train,14462,2,2
train,14464,2,2
train,14537,2,2
train,14671,2,2
train,14866,2,2
train,14873,2,2
train,14946,2,2
train,14987,2,2
train,14990,2,2
train,15114,2,2
train,15125,2,2
train,15169,2,2
